site_no,station_nm,date,gage_ht
06453600,"Ponca Creek at Verdel, Nebr.",2019-03-24 22:45:00,10.19
06453620,"Missouri River blw Ponca Creek nr Verdel, Nebr.",2019-03-24 22:15:00,19.96
06461500,"Niobrara River near Sparks, Nebr.",2019-03-24 22:15:00,5.43
06461500,"Niobrara River near Sparks, Nebr.",2019-03-24 22:15:00,5.49
06463500,"Long Pine Creek near Riverview, Nebr.",2019-03-24 22:45:00,2.56
06463720,"Niobrara River at Mariaville, Nebr.",2019-03-24 22:45:00,3.69
06465500,"Niobrara River near Verdel, Nebr.",2019-03-24 22:15:00,4.06
06465700,"Verdigre Creek near Verdigre, Nebr.",2019-03-24 21:45:00,3.27
06466000,"Niobrara River at Niobrara, Nebr.",2019-03-14 11:45:00,36.15
06466000,"Niobrara River at Niobrara, Nebr.",2019-03-24 22:15:00,34.17
06466010,"Missouri River at Niobrara, Nebr.",2019-03-24 20:00:00,20.16
06466400,"Bazile Creek at Center, Nebr.",2019-03-24 22:00:00,4.91
06466470,"Howe Creek below Walker Draw near Center, Nebr.",2019-03-24 22:15:00,3.1
06466500,"Bazile Creek near Niobrara, Nebr.",2019-03-24 11:00:00,2.37
06467500,"MISSOURI R AT YANKTON,SD",2019-03-24 22:30:00,11.11
06478522,"Bow Creek near Wynot, Nebr.",2019-03-24 22:30:00,3.21
06478523,"MISSOURI RIVER NR ST. JAMES, NE",2019-03-24 22:30:00,34.5
06478526,"Missouri River near Maskell, Nebr.",2019-03-24 22:15:00,22
06486000,"Missouri River at Sioux City, IA",2019-03-24 22:00:00,21.27
06600900,"South Omaha Creek at Walthill, Nebr.",2019-03-24 22:00:00,7.1
06601000,"Omaha Creek at Homer, Nebr.",2019-03-24 22:45:00,3.81
06601200,"Missouri River at Decatur, NE",2019-03-24 22:00:00,29.76
06609100,"Missouri River at Blair, NE",2019-03-24 22:00:00,25.41
06610000,"Missouri River at Omaha, NE",2019-03-24 22:00:00,27.53
06610705,"Big Papillion Creek near Blair, Nebr.",2019-03-24 22:15:00,11.67
06610710,"Big Papillion Creek near Kennard, Nebr.",2019-03-24 22:00:00,8.89
06610720,"Big Papillion Creek near Bennington, Nebr.",2019-03-24 22:50:00,6.15
06610732,"Big Papillion Creek at Fort Street at Omaha, Nebr.",2019-03-24 22:20:00,4.51
06610732,"Big Papillion Creek at Fort Street at Omaha, Nebr.",2019-03-24 22:20:00,4.41
06610740,"Big Papillion Creek at Pacific St at Omaha, Nebr.",2019-03-24 22:35:00,10.93
06610742,"Thomas Creek near Bennington, Nebr.",2019-03-24 22:00:00,2.32
06610750,"Little Papillion Creek at Irvington, Nebr.",2019-03-24 22:50:00,4.67
06610750,"Little Papillion Creek at Irvington, Nebr.",2019-03-24 22:50:00,4.52
06610760,"Cole Creek at Blondo Street at Omaha, Nebr.",2019-03-24 22:05:00,5.22
06610765,"Little Papillion Cr at Ak-Sar-Ben at Omaha, Nebr.",2019-03-24 22:40:00,2.73
06610770,"Big Papillion Creek at Q Street at Omaha, Nebr.",2019-03-24 22:50:00,9.03
06610773,"West Papillion Creek at Elkhorn, Nebr.",2019-03-24 22:50:00,3.3
06610780,"West Papillion Creek at Pacific St at Omaha, Nebr.",2019-03-24 22:50:00,9.15
06610785,"West Papillion Creek at Millard, Nebr.",2019-03-24 22:50:00,9.9
06610786,"South Papillion Creek near Gretna, Nebr.",2019-03-24 22:05:00,5.45
